gen-17,input-1,output-1,feedback-1,action
0,1,2,3,4,5,6,7,9,10,11,12,14,15,17,18,19,16,8,13,action
8,1,5,6,8,1,9,3,4,9,4,4,1,0,4,9,0,0,0,0,i
8,1,5,6,8,1,9,3,4,9,4,4,1,0,4,9,0,1,0,0,i
8,1,5,6,8,1,9,3,4,9,4,4,1,0,4,9,0,3,0,0,i
8,1,5,6,8,1,9,3,4,9,4,4,1,0,4,9,0,6,0,0,i
8,1,6,6,8,2,10,4,4,9,4,5,2,1,4,9,1,1,1,2,i
8,2,7,6,9,2,1,5,4,9,4,6,3,2,5,9,1,7,2,4,i
8,2,11,6,9,6,5,9,4,9,4,10,7,6,5,9,5,4,6,14,i
10,27,18,22,32,33,36,42,26,27,21,30,22,11,6,6,3,10,18,38,i
27,47,46,37,32,45,27,58,24,41,13,29,20,14,15,9,7,12,17,41,i
32,40,39,36,44,27,39,57,19,38,30,30,20,12,4,8,3,11,32,58,i
31,48,48,43,47,38,40,54,26,32,22,27,19,14,3,4,1,7,19,37,i
43,54,67,50,44,50,39,69,27,43,29,29,21,17,10,9,9,18,38,62,i
50,63,55,47,45,50,51,59,26,33,23,22,16,15,8,3,6,12,30,45,i
36,59,49,53,53,32,40,53,18,34,24,21,10,11,11,5,5,8,20,42,i
41,53,54,45,52,56,46,67,33,39,27,28,18,18,13,5,7,12,23,47,i
36,42,50,47,44,37,32,54,24,38,32,23,11,13,10,6,4,6,21,43,i
51,54,66,63,57,48,47,64,30,40,33,31,20,22,9,8,1,9,34,66,i
43,60,44,52,44,33,31,49,16,35,22,16,13,10,7,9,5,6,18,35,i
33,46,52,42,45,36,38,48,29,28,19,24,12,10,9,2,3,6,24,38,i
31,47,44,37,50,39,40,57,26,28,23,31,19,14,8,9,5,11,28,49,i
36,42,51,49,48,46,48,61,30,33,30,25,13,18,8,1,2,8,26,47,i
36,63,40,44,44,37,35,52,20,34,19,17,11,14,10,8,5,6,16,34,i
34,49,40,35,39,33,38,39,24,24,17,19,6,12,13,2,4,5,19,32,i
